rfi_number,project,trade,co_amount,current_score,applicability,actionability,root_cause_clarity,specific_action,summary,flag,question_text
RFI-1521,Southline Office,,439635.0,4,broad,high,clear,Implement a thorough utility coordination review during the design phase to ensure all existing util,The costly issue arose from inadequate coordination of existing utilities with the lime treatment re,,"Reference Drawing: Offsite C4.3 Requesting clarification or alternate details where lime treatment cannot occur offsite due to existing utilities. Mixers need 1' minimum clearance between bottom of treatment area & existing utilities for lime treatment, therefore no existing utilities can be within "
RFI-1531,Southline Office,architectural,306156.0,4,broad,high,clear,Implement a checklist for design reviews that includes paint specifications and other critical detai,The lack of clarity in paint specifications for the loading dock led to a costly change order due to,,Reference: SLP1 - RFI 1531 - PSD Loading Dock Paint Confirmation Sheet A4.05 Marked Up Picture in Sheet A4.05 Background: The current design did not clarify any paint to be installed in the loading dock. Question 1: Please confirm the extents of the additional paint in the loading dock as shown in t
RFI-1268,Southline Office,,301656.0,4,broad,high,clear,Implement a more rigorous design review process that includes checks for compliance with seismic req,The failure to comply with seismic rebar spacing requirements during the design phase led to a costl,,"Reference: SLP1 - RFI1268 - PSD Floor Boundary Remediation Confirmation Sheet A2.01 Background: An alternate rebar configuration for the inner, horizontal ties at these eight(8) boundaries were proposed during the shop drawing process. While the initial calculations proved to satisfy the structural "
RFI-0069,Southline Office,structural,294704.0,4,broad,high,clear,Implement a more rigorous design review process that includes cross-discipline coordination meetings,"The costly issue arose from a lack of coordination between structural and fire protection designs, r",,"Ref: FP1.01 (95% CD drawing dated 08.26.22) There's a minimum clearance required above the unit substation in electrical substation room,. Therefore the fire protection lines need to be within the beam pocket to avoid running within the required clearance zone. Please confirm that the beam penetrati"
RFI-0202.1,Southline Office,,272789.0,N/A,,,,,,UNDERSCORE?,B1 Housekeeping Pad for Electrical Equipment
RFI-0197,Southline Office,concrete,272789.0,4,broad,high,clear,Implement a thorough review process for material specifications and compaction requirements during t,The RFI regarding backfill material and concrete mix for the manlift pad resulted in a costly change,,"As discussed with Cornerstone Earth group (Nick Devlin) regarding the backfill material for the Manlift pad, please confirm the following: 1) Per drawing MH1-01-2.1, 95% soil compaction is required under the manlift (See page 3 highlighted in red). Please confirm usage of CDF fill is acceptable in l"
RFI-55,Intuitive Surgical MOB,curtainwall,271798.0,4,broad,high,clear,Implement a comprehensive design review checklist that includes verification of all critical compone,The failure to install existing mullion covers due to oversight in design documentation resulted in ,,Existing Mullion Covers Not Installed
RFI-0720,Southline Office,,254725.0,N/A,,,,,,UNDERSCORE?,"Reference: Onsite Drawings C4.3 Per email conversation with BKF Engineer (Ming Zhang). Confirm that the 6"" RPPA will be downsized to 4"" RPPA. See attached for callout. References Files (1) Onsite - B7 BFP Size Change Confirmation.pdf"
RFI-0100,Southline Office,"concrete, structural, plumbing",227483.0,N/A,,,,,,UNDERSCORE?,Ref: P3.03 (dated 10.28.22) The sand oil interceptor in building 1 needs a blockout in the mat slab in order to be installed after the concrete pour. Please see the attached sketch showing the location/dimension of this blockout. 1. Please provide the structural detail for the block out. 2. Please p
RFI-2119,Southline Office,,226523.0,5,broad,high,clear,Implement a weather barrier or enclosure for elevator lobbies in similar designs.,"The lack of a weather barrier in the elevator lobby led to significant water intrusion, necessitatin",,"Elevator lobby on tier 6 is not sectioned off from the exterior. In a wind-driven rain event, depending on the direction of the rain, it can enter the elevator lobby area. There is no barrier between the elevator and the elements. In rain event on 2.4.25, rain was pushed into the elevator lobby. See"
RFI-2,Silicon Valley Office,,215946.0,4,broad,high,clear,Implement a more rigorous design review process to ensure all necessary details are included in fabr,The omission of doubler plate details in the design documents resulted in a costly change order due ,,Ref: Attached file GPLA SSK_A02_DoublerPlate on Gusset_REV24-02-14.pdf Doubler plates as shown in Detail 8/PK2-S5.3.1 per PCR #2 and Bulletin #3 were not called out in previously issued fabrication erection drawings. Please confirm that this detail applies at all in-plane braces on Level 2 and Level
RFI-1494.1,Southline Office,landscaping,212962.0,4.5,category_specific,medium,clear,Ensure percolation testing is included in site drainage planning for future projects.,The RFI emphasizes the importance of percolation testing for effective site drainage management.,,"REF: RFI 1494, Site - Onsite Current Set: 4, 5, 9, 20/L8.10 POST TO: Site - Onsite Current Set: L8.10 Per constructability meeting on 4/16/24 between BrightView, DES and DPR, DES will provide a sketch denoting which locations on site will require percolation testing for tree drainage. Please provide"
RFI-115,Silicon Valley Office,,210975.0,4,broad,high,clear,"Implement a thorough review process of existing site conditions during the design phase, including s",The need to adjust the storm drainage design due to unverified existing conditions led to a costly c,,"Ref: Attached RFI-115 Markup Revision 11/21/24; At the marked location, (E) SD Invert sits lower than (N) SD Invert. In order to address field conditions of (E) SD pipe invert, please confirm it is acceptable to install a 36""x36"" SDMH with non-grated cover in lieu of the SDMH called out in 4/C10.4. "
RFI-0756,Southline Office,exterior_envelope,206565.0,N/A,,,,,,UNDERSCORE?,Ref: SLP1 - 4062-054000-2 B1 Exterior Framing Deferred Submittal There are multiple locations where the curtainwall embed at edge of slab is conflicting with the unistrut for the prefabricated exterior framing panel clip attachments. At these locations the unistrut will be shorter than the width of 
RFI-89.1,Intuitive Surgical MOB,architectural,194849.0,4,broad,high,clear,Implement a thorough review process for flooring transitions and drainage details during the design ,"The RFI resulted from unclear design specifications regarding flooring transitions, leading to a cos",,"Reference: Floor Plans 1-5/A2.11-A2.15 & Attached Pictures Question 1: As discussed on our check-in meeting on 9/16, please confirm if Schluter transition across whole opening at side doors is acceptable. Question 2: Provide direction on flooring slope around drinking fountains."
RFI-6,Silicon Valley Office,structural,177121.0,4,broad,high,clear,Implement a thorough review process for structural details in design documents to ensure all necessa,The lack of detailed structural infill specifications in the design led to a costly change order due,,"Ref: A2.0.2, S1.4A, S1.4B, attached Rev1 file under References; Questions: 1) The architectural edge-of-slab drawings, PK2-A2.0.2, call out the shaded areas at the Southwest and Southeast corners of the office tower as new concrete. There are no structural details provided for these existing, open a"
RFI-52.2,Silicon Valley Office,,175614.0,4,broad,high,clear,Implement a more rigorous design review process that includes detailed coordination meetings among a,The RFI regarding beam penetration at joint locations led to a costly change order due to design ove,,Beam Penetration at Joint Locations (EIFS APPLICATION)
RFI-1494,Southline Office,landscaping,164022.0,4.5,category_specific,high,clear,Ensure that all landscaping drainage systems are clearly integrated into utility plans during the de,This RFI highlights the need for better coordination between landscaping and utility plans to preven,,"REF: Site - Onsite Current Set: L8.10, C4.0, C4.1 POST TO: Site - Onsite Current Set: L8.10, C4.0, C4.1 Please review the attached file. Tree planting details 5, 10, 20/L8.10 all show a perforated pipe to be used for tree subdrainage. Utility plans C4.0-C4.1 and fine grading plans L2.10-L2.40 do not"
RFI-1206,Southline Office,,162280.0,N/A,,,,,,UNDERSCORE?,"Reference: SLP1 - RFI1206 - B1 Gen. Yard CMU Added Joints Confirmation Sheet A1.02 Background: The client has now selected on a generator to be procured for the TI. From discussions between, PMA, DES, and DPR, there will need to be updated design for the size of the current depicted Tenant Generator"
RFI-1617,Southline Office,"landscaping, concrete",156948.0,3,narrow,medium,partial,Ensure clear documentation of expansion joint locations in future designs.,This RFI highlights a routine coordination issue regarding the placement of expansion joints and ska,UNDERSCORE?,"REF: Site - B2 Current Set: L1.11A POST TO: Site - B2 Current Set: L1.11A Per coordination with DES, please provide the location of expansion joints and skate deterrents on the B2 walls and curbs."
RFI-0849,Southline Office,,151450.0,N/A,,,,,,UNDERSCORE?,"Reference Drawing: Offsite C6.8 Per Offsite Drawing C6.8 DPR is to install an 8"" Storm Drain lateral along Tanforan. Currently, the storm drain lateral is in conflict with an existing PG&E power pole. Please provide direction for one of the following: Option 1: If Storm drain line is to be relocated"
RFI-0248,Southline Office,,150727.0,N/A,,,,,,UNDERSCORE?,Ref: SK#134.1A Q1: Please confirm the attached markup for the beams at the northernmost window washing davit per coordination in the Structural Steel meetig 2/16/23. Q2: Please advise on the W14x22 beam location at grid K.
RFI-0585.1,Southline Office,"civil_site, landscaping",147947.0,4,category_specific,medium,partial,Ensure all equipment and piping meet reclaimed water standards in future projects.,Clarification on reclaimed water irrigation scope is essential for compliance and future project con,,"REF: BLDGOFF L3.20, RFI 0585 Offsite - Existing Reclaimed Water Irrigation Clarification RFI 0585 Offsite - Existing Reclaimed Water Irrigation Clarification confirmed that irrigation lines connected to the existing SSF water meter are to be purple pipes to accommodate reclaimed water. However, addi"
RFI-0585,Southline Office,,147947.0,N/A,,,,,,UNDERSCORE?,"REF: BLDGOFF L3.20 L3.20 calls for the offsite irrigation lines to be tied into existing SSF and Bart Irrigation systems. In the field, some of these existing systems are composed of purple irrigation boxes indicating non-potable or reclaimed water. Please confirm whether or not the pictured irrigat"
RFI-1875,Southline Office,"architectural, concrete, landscaping",145002.0,N/A,,,,,,UNDERSCORE?,"REF: Site - B2 Current Set: L2.10A POST TO: Site - B2 Current Set: L2.10A Please review the attached file. Per DES+DPR site walk on 8/16/24, DES confirmed that the seat walls around Building 2 are to be level. DES issued an updated fine grading plan that is included on page 3. Please confirm this gr"
RFI-47,Abbott Alameda Office TI,architectural,142648.0,5,,high,,Implement a thorough review process for existing conditions before finalizing design plans to preven,The RFI reveals critical structural and compliance issues requiring major rework.,,"Reference: RFI 47 - Abbott Alameda 1420 HBP - Restrooms Existing Conditions Confirmations Attached Pictures with Markups Sheet A4.4.0 Drawing sheet A4.4.0 provides design intent for the 2nd floor restrooms. DPR was contracted to only provide new finishes in these restrooms. However, additional work "
RFI-1912,Southline Office,architectural,136484.0,N/A,,,,,,UNDERSCORE?,"Reference: SLP1 - RFI 1912 - PSD Tiers 3-5 Cricketing Confirmation Attached Photos A2.04S Background: At tiers 3-5, there is more than 4"" of clearance between the TOC and the bottom of cable rails. Question 1: At these locations, please confirm if it is acceptable to add a 2"" buildup at the edge of "
RFI-2046.1,Southline Office,"architectural, plumbing, other",135704.0,4.5,category_specific,medium,partial,Implement a checklist item for evaluating drainage solutions in elevator lobby designs.,The RFI highlights a significant drainage issue that could affect elevator functionality during adve,,"At the elevator lobby on Tier 1, it was noticed that during heavy rain and wind events, water starts to accumulate under the stair landings, traveling through the North access of the tower. With the high wind forces, the water starts to flow towards the elevator fronts. This causes the water to star"
RFI-0204,Southline Office,,135670.0,N/A,,,,,,UNDERSCORE?,"Per email discussion with Alex Hartig (Atlas) on 12/16/22 (page #2), confirmation has been given to switch vapor mitigation systems. Please confirm it is acceptable to use Geo-Seal EV40's in lieu of Geo-Seal 60 for building 1 and 2. If confirmed, please update applicable details, notes, and drawings"
RFI-17,Abbott Alameda Office TI,,124678.0,4,broad,high,clear,Implement a more rigorous design review process to ensure alignment of structural elements.,The misalignment of structural columns led to a costly change order due to inadequate design coordin,,"Reference Sheet A2.1.2 Offices 2080, 2079, and 2078 have columns imbedded in the walls. These columns do not align with each other. Office 2078 will have an exposed column with current drywall layout. Confirm if acceptable to shift offices over to enclose the column. Suggested answer DPR suggest shi"
RFI-37,Abbott Alameda Office TI,,124678.0,4,broad,high,clear,Implement a verification step in the design review process to confirm wall framing specifications ag,The need to change wall framing specifications led to a costly rework due to inadequate initial desi,,"Reference: RFI 37 - Abbott Alameda 1420 HBP - Breakroom 02H6C Wall Width Confirmation A2.1.2, AD2.1.2 As per conversation with John (Abbott), Existing north wall at Breakroom 02H6C is framed using a 2.5-inch stud. Abbott Confirmed demolition of the north wall in order to reframe with 3.5-inch stud t"
RFI-1348,Southline Office,,123542.0,N/A,,,,,,UNDERSCORE?,B1 - Fan Room 712 Slab and Wall Gap
RFI-1330,Southline Office,,121931.0,N/A,,,,,,UNDERSCORE?,PSD - Storage Room 115B Light Fixtures
RFI-0849.1,Southline Office,,120190.0,N/A,,,,,,UNDERSCORE?,"Reference Drawing C6.8 Response to RFI-849 provided revised plans to both the Storm drain line and Domestic water line, see attached. Response was provided by BKF and closed out on 8/30/23. DW tie-in installed and completed per onsite and offsite drawings on 8/04/23. Please confirm DPR is to move th"
RFI-16,Intuitive Surgical MOB,"architectural, structural",118846.0,4,broad,high,clear,"Implement a more thorough review process for design details that involve overhead installations, ens","The costly issue arose from a design oversight regarding soffit installation access, leading to a si",,"The soffit that supports the mecho shade is drawn as a single drop with a kicker. There is not enough access to install this soffit drop between the building's perimeter beam and the exterior wall. Also, in some areas existing cold formed metal framing ties into exterior wall preventing access. To a"
RFI-1684,Southline Office,architectural,115307.0,N/A,,,,,,UNDERSCORE?,"Referenced Documents: A2.01, A9.10, A8.03 Question: Please see attached photo along the exterior full height partitions. The exterior full height walls follow the interior wall schedule and allow for 1.5"" of deflection, which requires a 1.5"" gap at the top of the gypsum board. Details 16 and 20 on A"
RFI-1093,Southline Office,architectural,114792.0,4.5,category_specific,medium,partial,"Ensure that all roof designs include clear specifications for drainage systems, including gutters an",The RFI highlights the need for clear drainage specifications in roof designs to prevent potential w,,"Ref: A2.08, Detail 9/A5.37, Detail 7/A8.23 Per roof plan A2.08 no gutters are called out for the mechanical shaft roofs. Detail 9/A5.37 show wall section of the mech shaft where roof is sloping to which also does not depict gutters at roof level. Please confirm design intent is for gutters and downs"
RFI-1327,Southline Office,"exterior_envelope, architectural",114792.0,4,category_specific,medium,partial,Ensure that roofing taper systems are reviewed for compatibility with structural elements like bent ,The RFI highlights the need for careful consideration of roofing taper layouts to avoid integration ,,"Ref: 393-075419 - PSD PVC Membrane Roofing Taper Layout and Shop Drawings In order to ensure bent plate around perimeter of roof along along inside of parapet will be buried within the roofing taper system DPR suggests adding a 2.5"" base layer at the high roof. Please see attached for revised taper "
RFI-1076,Southline Office,civil_site,114016.0,4.5,broad,high,clear,Ensure thorough utility conflict assessments are conducted during the design phase to avoid similar ,The RFI highlights the need for better utility conflict management in design to prevent future issue,,Currently there is an existing communication line and irrigation line that is directly in conflict with one of our PG&E #7 Vaults. Additionally there is an existing storm drain line that is in conflict with the eastern #7 box pad. See attached. Please provide new location of the two PG&E #7 Box and 
RFI-145,Silicon Valley Office,,111935.0,5,,high,,Ensure all paths of egress are designed and constructed in compliance with safety regulations to pre,The RFI highlights critical safety compliance issues regarding egress paths that must be adhered to ,,"Ref: Attached markup; SmithGroup and Langan Team, please confirm: 1) Please confirm the outdoor landscape area will require two paths of egress from concrete patio. 2) Please confirm paths of egress are acceptable as sidewalk as shown as long as sidewalk does not exceed 5% slope. 3) No exceptions ta"
RFI-1761,Southline Office,architectural,111797.0,N/A,,,,,,UNDERSCORE?,"Ref: A2.01 Per conversation with SSF building inspector, a separate 2hr rated enclosure is not required for the lighting inverter in Electrical Room 128. 1) Please confirm it is acceptable to demo the 2hr rated partitions and door around the lighting inverter. Please see attached for more informatio"
RFI-0599,Southline Office,"architectural, plumbing",111780.0,N/A,,,,,,UNDERSCORE?,"Ref: A4.10 (B1 SI-04 dated 05.19.23); Email Correspondence with Sipan/PMA dated 06.05.23; Submittal 4100-220000-0-B1 Lavatory, Faucet and Soap Dispenser Post: Detail 2 & 4/A4.10 Per email correspondence with PMA, the lavatory will be updated to countertop with undermount sink. Please provide the lay"
RFI-1675,Southline Office,,110018.0,4,,high,,Review and confirm compliance with ADA regulations for charger placement and determine the necessity,Potential ADA compliance issue and safety concerns regarding electric vehicle charger installations.,,"REF: B2 Current Set: E1.00, Site - B2 Current Set: L1.10A POST TO: B2 Current Set: E1.00, Site - B2 Current Set: L1.10A Please review the attached file. Please advise on the following: 1. Please confirm the proposed locations of electric vehicle chargers shown 2. on sheet E1.02 are acceptable. Charg"
RFI-1389,Southline Office,electrical,108977.0,N/A,,,,,,UNDERSCORE?,"Reference: R20 DL JT4.0 The JT calls for Communication Riser Pole to be installed on Linden Ave in the area highlighted in red in the attached file. On the ground the pole is going to end right on the driveway. Please confirm if this location is where the pole is to be placed. Otherwise, provide a r"
RFI-1470,Southline Office,,108977.0,4.5,category_specific,high,clear,Ensure thorough utility mapping and verification before finalizing designs to avoid conflicts.,This RFI highlights the importance of verifying existing utility locations to prevent design conflic,,"Reference: R20 DL JT4.0 The section of the trench highlighted in red is being affected due to the existing utilities that the JT is crossing over at South Linden Ave. At location A, the Joint trench will be crossing over communication duct bank and gas line. The top of the communication duct bank is"
RFI-0091,Southline Office,"architectural, fire_protection, structural, concrete",107373.0,N/A,,,,,,UNDERSCORE?,"Ref: Fire Water Tank Water Volume Calculation Sheet; A1.03 (B1 ASK-01 dated 10.13.22); FP0.04, S1.01 & S3.01 (B1 95% CD drawing dated 08.26.22); SK-1 Blockout Size This is confirming RFI. 1. See FP0.04 and SK-1. Blockout (area highlighted in yellow) is required at the southeast corner of firewater t"
RFI-1335,Southline Office,,104796.0,N/A,,,,,,UNDERSCORE?,"There are C1 walls above the mist eliminator and filter banks in the air handler room. The mist eliminators and filter banks attach to the finish opening. See attached for connections details with weights and opening sizes. 1. At the mist eliminator, please confirm the track and stud requirements ar"
RFI-0615,Southline Office,structural,103557.0,N/A,,,,,,UNDERSCORE?,"Ref: S2.07, S7.02, S3.03, S5.00 (B1 SI-04 dated 05.19.23); Submittal 1436-142100-0-B1 Passenger Elevator A-D Shop Drawing; Submittal 1436-142100-0-B1 Passenger Elevator A-D Shop Drawing; Screenshot 1, Screenshot 2 Post: S2.07, Detail 3 & 8/S7.02, 4/S3.03 1. See detail 3/S7.02 and Screenshot 1. Hoist"
RFI-0965,Southline Office,,102176.0,2,narrow,low,clear,Ensure detail clarifications are documented in project records.,"This RFI clarifies a detail for a channel beam connection, which is a routine clarification.",UNDERSCORE?,"Reference: SLP1 - RFI0965 - PSD Added Cantilevered C12x25 Detail Clarification RFI0965 SK-1 SLP1 - RFI0576 - PSD PT Beam Electrical Penetration Post On: 11/S7.03, 1/S7.01 Background: Per comments provided by Armando/GPLA on Submittal #4042, Glazier Steel is to provide a C12x25 channel with studs in "
RFI-0142,Southline Office,,100036.0,N/A,,,,,,UNDERSCORE?,Site - R15 City fiber Drawing clarifications
RFI-0173,Southline Office,,100036.0,N/A,,,,,,UNDERSCORE?,Site - Fiber Boxes B36 in lieu of No. 6E
RFI-0786,Southline Office,,100036.0,N/A,,,,,,UNDERSCORE?,Onsite - R16 JT AT&T and Comcast Reroute
RFI-0718,Southline Office,"architectural, structural",96230.0,N/A,,,,,,UNDERSCORE?,Ref Details 2- &5/S7.1 and RCP A3.01: Detail 5/S7.1 calls out for control joints on all walls greater than 25' at no more than 25' OC. Detail 5/S7.1 also calls out for a minimum 4-week cure between CMU initial install & backfill for control joint locations. Based on the 18- week lead time of the spe
RFI-1080,Southline Office,concrete,96230.0,5,,high,,Review and modify concrete mix design and reinforcement strategies to mitigate shrinkage cracking in,Shrinkage cracking in concrete slab indicates a critical structural concern requiring immediate atte,,"Referenced Attachments: S2.1, 11/3/23 DES-PMA-DPR SOG Shrinkage Crack Follow Up Meeting Notes SOG Pour #1 has seen shrinkage cracking, which is anticipated in concrete. Based on prominence of cracking, DPR, PMA, and DES met to review if any modifications to concrete mix design, reinforcement, or saw"
RFI-8,Silicon Valley Office,"architectural, structural",92894.0,4,broad,high,clear,Implement a more thorough design review process that includes checks for vertical clearances and con,The conflict between the lobby elevator shaft and mass timber roof design resulted in a costly chang,,Lobby Elevator Shaft Conflict with Mass Timber Roof
RFI-1870,Southline Office,"architectural, structural",92411.0,N/A,,,,,,UNDERSCORE?,Reference: SLP1 - RFI 1870 - B1 Service Yard Vertical Fins Clarification Sheets A1.02 and A1.10 Further information is required for the vertical fins shown at the exterior of the service yard. Please provide/confirm the following: Dimensions and Profile of fins (dimensions shown off of CMU edge but 
RFI-0341,Southline Office,"concrete, masonry, structural",91208.0,N/A,,,,,,UNDERSCORE?,"Reference: SLP1 - RFI0341 - PSD Bearing and Non-Bearing Walls Confirmation Q1: RFI0295 response calls out for all highlighted walls to be CMU. Please confirm it is acceptable to make all 8"" highlighted walls concrete to the bottom of the slab at level 2 instead of CMU for both bearing and non-bearin"
RFI-52,Silicon Valley Office,structural_steel,90540.0,4,broad,high,clear,Implement a more rigorous design review process that includes detailed coordination checks between s,The costly change order resulted from a coordination failure regarding beam penetrations at joint lo,,Beam Penetration at Joint Locations (Metal Panel Shop Drawings)
RFI-1307,Southline Office,"architectural, electrical, structural, other",89281.0,N/A,,,,,,UNDERSCORE?,Ref: E9-05.L1.01; Roof Panels Plan (submittal 4234-061543-0-B2 Mass Timber Shop Drawing); Sketch 1 Dog House Detail; A2.02 Post on: S2.3; A2.02 1. Please confirm that the field-cut opening and penetrations highlighted in yellow are acceptable. 2. Please confirm if there's any reinforcement required 
RFI-1307.1,Southline Office,"architectural, electrical, other",89281.0,N/A,,,,,,UNDERSCORE?,"Ref: Detail 1; Sketch 1 ; A2.02 Post on: A2.02 1. This is a .1 RFI. Please confirm that it is acceptable to use Detail 1 in lieu of the detail RFI1307 by building wood curb below the panelboard as coordinated in meeting with DPR/Alliance/MCA. 2. See Sketch 1. The panelboard is 90"" tall. Due to the c"
RFI-0277.3,Southline Office,"architectural, masonry, interior_finishes",89249.0,N/A,,,,,,UNDERSCORE?,"Reference: SLP1 - RFI0277.3 - PSD CMU Color Clarifications_R3 Q1: Please confirm if ""yellow"" wall will now have plaster only at the interior face of Stair #2 at all levels. Q2: Please confirm if the ""yellow"" walls located at the Bike Enclosure, Storage 116, Storage 202, Storage 205, Storage 302, Sto"
RFI-0277,Southline Office,"architectural, masonry, interior_finishes",89249.0,N/A,,,,,,UNDERSCORE?,Reference: SLP1 - RFI0277 - PSD CMU Color Clarifications Q1: Please select colors from link below for the 3 texture and colored CMU walls at PSD. https://www.basalite-cmu.com/northern-ca-cmu-colors Currently project is bid with base and standard color range. Use of premium colors may result in addit
RFI-0750,Southline Office,electrical,86908.0,N/A,,,,,,UNDERSCORE?,Onsite - Rule 16 Conflict at #7 Vault
RFI-0547,Southline Office,"architectural, structural, mechanical",86744.0,N/A,,,,,,UNDERSCORE?,"Ref: M2.06, A4.10 (B1 PCR #2 dated 01.10.23), SK-1, SK-2 The Level 6 bathroom exhaust duct offsets horizontally in Level 6 overhead and the goes through the Level 7/roof slab. In order to maintain the rating between the Level 6 bathroom exhaust shaft wall and Level 7/roof slab opening a rated soffit"
