category,query_ref,query_project,query_text,candidate_ref,candidate_project,candidate_text,candidate_resolution,llm_reasoning,your_label,your_notes
somewhat_relevant,RFI-114.1,CoreSite Data Center,"Per RFI #114: Confirmed to leave 1 3/8"" corner exposed at the existing shaft wall. Only from the column at grid line E to the edge of the wall needs to be aligned, resulting in the corridor clearance between the North and the South corridor walls to be at 9’- 1/8"" at that specific location. To achieve alignment with the North wall East corner and provide clearance for the K-brace, DPR proposes adding one layer of 1/2"" drywall and one layer of 5/8"" gypsum board. This additional drywall will be installed up to ceiling height only and will not extend above the ceiling. Suggested answer Corgan, please confirm: 1) Only the small section of the North wall in corridor 260 requires alignment. 2) The proposed addition of 1/2"" drywall and 5/8"" gypsum board to clear the K-brace is acceptable. 3) Additional drywall to be installed up to ceiling height only.",RFI-88,Intuitive Surgical MOB,"Existing Rated Wall Assembly Clarification Existing Rated Wall Assembly Clarification Reference: Floor 1 Floor Plan/A2.11 Question: Drawings show an existing 2-hour rated partition between Trash 1033 and Exit Passageway 1032. In the field, existing wall is not full height. Please confirm existing wall separating Trash 1033 from Exit Passageway 1032 is to be a full height - 2 hour rated partition.","Felice Rosario Arrigotti (RMW Architecture + Interiors - 10024152): RMW: The ceiling over the exit corridor is rated. 
Extend the gyp
board on the trash room side to ensure there is no smell transfer.
No additional rated construction is needed at this location.
H.Travis 08.25.25","While both issues involve architectural wall assemblies and drywall considerations, they address different specific conditions and requirements, making the historical issue potentially informative but not directly applicable to the new observation.",,
somewhat_relevant,RFI-0916,Southline Office,B1 Electrical Circuit for Added BMS Panel,RFI-151,CoreSite Data Center,"The IFC Mechanical and Electrical drawings do not indicate line voltage thermostats. Per scope responsibilities, low voltage thermostats are installed by Division 23, while line voltage thermostats are installed by Division 26. Suggested answer Please confirm whether all mechanical thermostats on this project are intended to be low voltage or line voltage. If line voltage thermostats are required, please provide drawings identifying the locations of these thermostats for use in field installation.","Abdul Mohi Mohammed (KW Engineering - 10059720): All mechanical thermostats on this project are intended to 
be low voltage. Line voltage thermostats are not installed.
Ashley Hill (Corgan - 10059759): GC to refer to KW.
CS - CORGAN - 9.22.25","While both issues involve electrical and mechanical systems, the historical issue focuses on thermostat voltage types, whereas the new observation pertains to an electrical circuit for a BMS panel, indicating a related but not directly applicable concern.",,
somewhat_relevant,RFI-0854,Southline Office,B2 Penetration Locations at Splines,RFI-1142,Southline Office,"B2 GS Roof Framing - HSS Kickers 2, RFI 906 Question: Grid D HSS Kickers 1. Please clarify dimension from Grid D to set-out HSS Kicker where it intersects with CLT Panel. 2. Please clarify set-out angle of HSS Kicker. 3. Please clarify connection details for HSS Kicker back to exterior cladding. Grid 16 HSS Kic","Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.","While both issues pertain to structural elements and framing details, the specific focus on penetration locations in the new observation differs from the connection and dimension clarifications requested in the historical issue, suggesting some related lessons but not a direct application.",,
somewhat_relevant,RFI-0480,Southline Office,B1 Metal Deck Side Laps Over Field Beams,RFI-1183,Southline Office,"B2 - EWH-1-6 Housekeeping Pad 01, S5.2, P2.01D, BMC Shop Drawing PL.2.L1.HK Please advise on details required for attaching the proposed housekeeping pad (refer to sheet PL.2.L1.HK) for EWH-1-6 to the slab in Janitor 112.","Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.","While both issues pertain to structural elements within the Southline Office project, the specific focus on metal deck side laps in the new observation and the housekeeping pad attachment in the historical issue suggests they are related but not directly applicable to each other.",,
somewhat_relevant,ISSUE-26,Abbott Alameda Office TI,Finish t-bar install Drawing: A2.2.2 (2ND FLOOR - REFLECTED CEILING PLAN),ISSUE-17,Abbott Alameda Office TI,Straighten up T-bar Drawing: A2.2.2 (2ND FLOOR - REFLECTED CEILING PLAN),,"Both issues pertain to the installation of T-bar in the same area, suggesting that lessons learned from straightening the T-bar could inform the finish installation, though they are not identical problems.",,
somewhat_relevant,RFI-347,Silicon Valley Office,Trash Enclosure Base Plates at Gate,RFI-0297,Southline Office,"Per the attached sheets, Camblin proposes the use of displacing contract bars in the SOG as support. The displaced bar would support the bottom layer and sit on top of a concrete dobie that would allow proper clearance to the main reinforcing. The proposal would only displace a contract bar for support at a minimum spacing @ 48"" O.C. Any displacement will fall within the overall tolerances per ACI 318-08 Section 7.5.2. 1 and concrete clearances to main reinforcing will be maintained. Please confirm this is acceptable.","Please see attached.
Julia Morini (DES Architects & Engineers, Inc. - 10012655) - Mar 13, 2023, 10:24 AM PDT
•
•
References
Files (2)
SLP1 - RFI 0297 - B1 Displace contract bars in the slab on grade as support confirmation.pdf
SLP1 - RFI-0297 - B1 Displace contract bars in the slab on grade as support confirmation_Resp.pdf","While both issues involve concrete and structural support, the specific contexts and details differ, making the historical resolution potentially useful but not directly applicable to the new observation.",,
somewhat_relevant,RFI-0994,Southline Office,B2 - Receptacle Relocation on Shear Walls,RFI-0600,Southline Office,B2 Interstitial Panel Relocation,"Please see attached.
Julia Morini (DES Architects & Engineers, Inc. - 10012655) - Jun 6, 2023, 2:45 PM PDT
•
•
References
Files (2)
RFI#18 - B2 Interstitial Panel Relocation.pdf
SLP1 - RFI-0600 - B2 Interstitial Panel Relocation.pdf","While both issues involve electrical work related to relocations, the specific contexts of receptacle relocation on shear walls and interstitial panel relocation suggest they are related but not directly applicable to each other.",,
somewhat_relevant,RFI-0639,Southline Office,B2 Bike Enclosure Door Clarification,RFI-1446.1,Southline Office,"B2 VGS Screws Drifting Out of Face of GL 12 Beam 1 B2 VGS Screws Drifting Out of Face of GL 12 Beam Referenced Documents: A2.01, S2.2 Question: Please provide repair detail for the (5) VGS screws that drifted out of Face of GL 12 Beam.","Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.","While both issues pertain to the architectural trade and involve structural components, the specific concerns of the bike enclosure door and the drifting screws are distinct, though lessons regarding structural integrity and repair might be applicable.",,
somewhat_relevant,RFI-0879,Southline Office,B2 Post-Installed Anchor Clarification,RFI-1119,Southline Office,"on GC RFI #0906 notes ""Stud wall position by facade designer and/or architect"". No further information was provided. Please verify angle of kicker is acceptable or advise otherwise. 6 - Please verify end of box from CLT panel is acceptable or advise otherwise. 7 - Please verify stub profile is acceptable or advise correct profile. 8 - Please verify location of HSS outriggers is correct or advise otherwise. (6"" from column to first fixing Det S6.3/7) 9 - As HBS plate fixings finish proud of collector plates, this causes a clash between HSS outriggers and HBS fixings. Please clarify adjustments required. 10 - As per 6/
on GC RFI #0906 notes ""Connection between plate and stud wall by facade contractor"". No detail is yet to be provided. Please liaise with facade contractor and supply required connection detail. 12 - Due HSS outrigger positioned parallel to main roof slope, this results in a 2""3/8 gap between the flat CLT panel and underside of HSS. Please verify whether we are to increase ","Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.","While both RFIs pertain to structural concerns within the same project, the specific issues addressed in RFI-1119 do not directly relate to the post-installed anchor clarification in RFI-0879, but some lessons regarding structural connections may still apply.",,
not_relevant,RFI-1243,Southline Office,"B2 - Roof Receptor Elevation 2.RF.B.DL, Architectural Sheets A2.02 - Floor Plan - Roof and A2.02S - Deck Plan - Roof Please advise on elevation from top of roof receptor to roof deck as noted on the attached drawings.",RFI-1696,Southline Office,The plumbing waste connection at mop sink #63 (ref sheet QF401) is roughed in for a no-hub connection whereas the mop sink is fabricated for a caulk joint (oakum and lead). Please advise which connection type should be used.,"Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.","The new observation pertains to roof receptor elevation, while the historical issue concerns a specific plumbing connection type for a mop sink, indicating they address different aspects of plumbing work.",,
not_relevant,RFI-0488,Southline Office,Please provide location of W8X35 anchorage steel for davit support as shown clouded on the attached detail 3/S7.00.,RFI-0973.3,Southline Office,"required, if so please advise?","Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.","The historical RFI does not provide any specific information or resolution related to the anchorage steel for davit support, making it unrelated to the new observation.",,
not_relevant,RFI-5.1,Intuitive Surgical MOB,Level 3 Full Height Wall Clash with Ductwork Tie-in Rev 1,RFI-1816,Southline Office,"B2 Outside Corner Schluter for Column at Toilet Room 124 2, A3.01 Question: We currently do not have a specified Schluter type, color, or finish for the outside corner of the Glu-lam column in Toilet Room 124. Please provide specifications for Schluter type, color, and finish.","Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.","The historical issue pertains to a specific detail about a Schluter corner finish, while the new observation involves a clash with ductwork, indicating fundamentally different problems with no useful connection.",,
not_relevant,RFI-1778,Southline Office,PSD Exposed Horizontal Rebar at Slabs Remediation Confirmation,RFI-0742,Southline Office,"Per conversations with Meg/DES on 07.20.23, please confirm it is acceptable to extend the CMU wall to the face of elevator wall to allow for drywall framing.
Please confirm it is acceptable to terminate the CMU Wall at the column encasement elevation on Gridline T.
Please confirm it is acceptable to terminate CMU Wall at face of fireproofed column on Grid U/18.3.",,"The historical issue pertains to the termination of CMU walls and drywall framing, which does not directly relate to the remediation of exposed horizontal rebar at slabs.",,
not_relevant,RFI-127,CoreSite Data Center,"Please confirm if the use of condulets is acceptable for branch, lighting, and grounding circuits. In certain locations, the use of condulets are necessary to maintain compliance with NEC bend limitations and to provide safe access for future inspection and maintenance without requiring disassembly of other conduit runs. Installing condulets at these specific points will ensure the system remains code-compliant while also allowing for easier servicing in the future. Suggested answer Please confirm that condulets are acceptable for use on branch circuits, lighting circuits, and grounding conductors.",RFI-1388.1,Southline Office,"Offsite - R20 Dollar/Linden PG&E Ductbank Conflict 1 Offsite - R20 Dollar/Linden PG&E Ductbank Conflict Reference: R20 DL JT4.0 PG&E inspector on site said that instead of going under the high voltage(HV) duct bank, they would prefer to have the conduits cross-over the HV duct bank and then gradually taper to the depth where the conduits are supposed to be. Based on the on-s",,"The historical issue pertains to a conflict with ductbank installation and does not address the use or acceptance of condulets for branch circuits, lighting, and grounding circuits as requested in the new observation.",,
not_relevant,RFI-0576.4,Southline Office,"PSD Steel Beam Electrical Penetration Clarifications_R4 4 PSD Steel Beam Electrical Penetration Clarifications_R4 Reference: SLP1 - RFI 0576.4 - PSD Steel Beam Electrical Penetration Clarifications_R4 Background: After the submittal review for the PSD elevator and stair tower, Glazier Steel had follow-up questions. To avoid any delays in material procurement, DPR started a",RFI-48,Silicon Valley Office,New Beam Connection at GL 5-C (Lee's RFI 015),"Jason Hsia (GPLA Structural Engineers): The new connection plate with studs is to be welded on the existing 
column cap plate to the sloped plate. The connection plate would be approximately 6 1/2"" south from the location 
shown in details. The weld remains the same to the existing beam top flange and to the existing beams/plates.",,,
not_relevant,RFI-1048,Southline Office,"Ref: A4.01 (B1 SI-05 dated 07.14.23), SC2.01 (B1 SI-06 dated 10.12.23) See SC2.01, we need three pull boxes at the lobby area for future security devices. Please confirm that it is acceptable to have 2' x 1.5' removable panel at the wood slat ceiling to access the pull boxes. The size of the pull box is 12"" x 12"".",RFI-56,Intuitive Surgical MOB,Dimensions to Exit Signs in Open Ceilings,"Felice Rosario Arrigotti (RMW Architecture + Interiors - 10024152): RMW: Align to light fixtures and mount with a 
minimum 4"" clear off any adjacent
fixture. Center in hallway or over door where possible, locate in full view of hallway
where not possible to center.
H.Travis 09.03.24","The historical issue pertains to the placement of exit signs in ceilings, while the new observation focuses on the installation of pull boxes for security devices, making them fundamentally different issues with no useful connection.",,
not_relevant,RFI-105,Abbott Alameda Office TI,Abbott Alameda 1420 HBP - Grease Shaft Steel Supports Clash Clarification,RFI-0551,Southline Office,"Please confirm the vertical DBA bar is to be field welded to the top angle.
Please confirm the length of the angle is to be 16"".
Please confirm top angle is to be an L6X6X1/2. Also confirm that angle is not galvanized as it will be inside waterproofing.
DBA to be field welded to bottom bent plate and stub up 8"" with a coupler on top to connect with DBA welded to embed. Please confirm this is acceptable.","Please see attached.
Julia Morini (DES Architects & Engineers, Inc. - 10012655) - May 26, 2023, 11:35 AM PDT
•
•
References
Files (2)
SLP1 - RFI0551 - B1 L3 Balcony Embed Detail Confirmation.pdf
SLP1 - RFI-0551 - B1 L3 Balcony Embed Detail Confirmation_Resp.pdf","The historical issue pertains to specific details about vertical DBA bar connections and angles, while the new observation involves a clash related to grease shaft steel supports, indicating fundamentally different structural concerns.",,
not_relevant,RFI-112.1,CoreSite Data Center,"Per RFI #112: Confirmed, gap from the top of framing assembly to the bottom of the RAF floor should not be present. To maintain fire rating at raised elevator sill pony wall, DPR proposes the referenced framing detail markup. Please note, the HSS sheet metal had to shift down by 2 3/4"" in lieu of 2"". Suggested answer Corgan, please confirm the proposed framing detail per the referenced markup is acceptable.",RFI-1531,Southline Office,PSD Loading Dock Paint Confirmation 05 Marked Up Picture in Sheet A4.05 Background: The current design did not clarify any paint to be installed in the loading dock. Question 1: Please confirm the extents of the additional paint in the loading dock as shown in t,"Julia Morini (DES Architects & Engineers, Inc. - 10012655): Please see attached.","The historical issue pertains to paint confirmation in a loading dock, which does not relate to the framing and fire rating concerns of the new observation regarding the CoreSite Data Center.",,
not_relevant,RFI-1123.1,Southline Office,PSD Tier 5 Vehicle Barrier Cable Rail Layout Confirmation_R1 1 PSD Tier 5 Vehicle Barrier Cable Rail Layout Confirmation_R1 Reference: SLP1 - RFI1123.1 - PSD Tier 5 Vehicle Barrier Cable Rail Layout Confirmation_R1 SLP1 - RFI1123 - PSD Tier 5 Vehicle Barrier Cable Rail Layout Confirmation Post on: A2.05 Background: Per discussions with Cable Moore and the DPR General Te,RFI-0733,Southline Office,B1 Air Handler Room Floating Slab,Please see attached.,"The historical issue regarding the air handler room floating slab does not address the vehicle barrier cable rail layout confirmation, indicating a lack of relevant connection between the two issues.",,
